backbone,fusion,regressor,cv_mae_mean,cv_mae_std,cv_mse_mean,cv_mse_stc,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
resnet50,mean,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
resnet50,max,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
resnet50,concat_abs_diff,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
convnext_tiny,concat,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
convnext_tiny,mean,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
convnext_tiny,max,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
convnext_tiny,concat_abs_diff,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
densenet121,concat,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
densenet121,mean,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
densenet121,max,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
densenet121,concat_abs_diff,dummy_mean,25.333333333333332,12.666666666666668,802.2222222222222,641.7777777777778,25.333333333333332,12.666666666666668,,
