backbone,fusion,regressor,cv_mae_mean,cv_mae_std,cv_mse_mean,cv_mse_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
densenet121,mean,mlp,0.584484146708534,0.03891485548896994,0.5323151149334882,0.06755892629744023,0.7280720671765968,0.04718241124280763,0.6250022549344291,0.055014456047705516
vit_b_16,max,mlp,0.595555895007792,0.037929028140861146,0.541414938904123,0.05204630635068387,0.7349684765364796,0.035160736649979984,0.6190510414697752,0.041473376205050254
convnext_tiny,concat_abs_diff,mlp,0.6152562982468378,0.03187151398686869,0.5867494029389075,0.06701150535305209,0.7647203130385851,0.04418422529677286,0.5882402211157858,0.04322144633339545
convnext_tiny,concat,mlp,0.6238463222604422,0.043310639084161474,0.6591218392634778,0.0834106872184767,0.8101904322453766,0.05208937282716486,0.5372052718107585,0.055844280310384235
densenet121,max,mlp,0.6336558487372739,0.046743225535875774,0.6312247947264088,0.07129270117174039,0.7931304820231664,0.04657073342893008,0.5554372583199856,0.058352571343900116
densenet121,concat_abs_diff,mlp,0.6503663872054647,0.05850471629088422,0.6793745119773018,0.12859984504976915,0.8207476110082373,0.07581471494092007,0.5211580524687698,0.09791816505474893
vit_b_16,concat_abs_diff,mlp,0.6739668612664655,0.07678283571340891,0.742352434002518,0.18275469611317288,0.8545909360023408,0.10966661344803649,0.4778495376323443,0.12934283071441513
densenet121,concat,mlp,0.688371971783184,0.10885614914301109,0.8009255030711155,0.24306390263091887,0.8856737630459476,0.12848147151689418,0.43553169276978193,0.17712131074351325
vit_b_16,concat,mlp,0.6958158328916346,0.0918285234761073,0.7668107430396663,0.22382552013892199,0.8675287241646241,0.11918328653366535,0.4566641592225305,0.17781494609318163
resnet50,mean,mlp,0.8174996730160146,0.047180792424293135,1.073495055374738,0.14249467728871626,1.033822853105787,0.06859565416954791,0.24749970743257727,0.08623250982298887
resnet50,max,mlp,0.8441142438380492,0.04844668512035036,1.1371718523299261,0.11649288837903642,1.0649603688673253,0.05505692573960962,0.20124874140294563,0.07720517520963481
resnet50,concat,mlp,0.9937637891471388,0.1339856580388029,1.6052383643825667,0.4675389957548756,1.2540406941061675,0.18061091303763394,-0.12152600456970082,0.30463001649674104
resnet50,concat_abs_diff,mlp,1.025451013943092,0.042231852576278234,1.7229595212715636,0.2731020115494213,1.3087753267776525,0.10033277275951502,-0.21032324751350454,0.18585823611244107
dummy_mean,dummy_mean,dummy_mean,1.0614421768707483,0.0,1.4238381496598642,0.0,1.1932468938404426,0.0,0.0,0.0
