file_name,bridge_angle,Fr,Fr_ini,plates,cubes,logs,Q[dm],H_up,H_down,H_up_corr,H_down_corr,pic_side,pic_top,dh,dh_d0,rel_BW,carpet_length_avg,carpet_length_max,exp_id,volume
"N3_R_2P_F0,4_h0,9_0P0C100L_0HR_R1_4L_0HW_22,5Deg",22.5,0.013530637235548072,0.4,0,0,1,13.5,96,14.3,90,89,,,1,0.011111111111111112,,,,14,0
dried debris,22.5,0.013530637235548072,0.4,0,0,1,13.5,103,14.2,97,87.99999999999999,273,124,9.000000000000014,0.10000000000000016,,,,14,19
,22.5,0.013530637235548072,0.4,0,0,1,13.5,103.5,14.2,97.5,87.99999999999999,275,125,9.500000000000014,0.10555555555555571,,,,14,38
,22.5,0.013530637235548072,0.4,0,0,1,13.5,105,14.2,99,87.99999999999999,277,126,11.000000000000014,0.12222222222222238,,,,14,57
,22.5,0.013530637235548072,0.4,0,0,1,13.5,106,14.2,100,87.99999999999999,279,127,12.000000000000014,0.1333333333333335,0.1111111111111111,94,107,14,76
"N3_R_2P_F0,4_h0,9_0P0C100L_0HR_R1_4L_0HW_22,5Deg",22.5,0.013530637235548072,0.4,0,0,1,13.5,96,14.3,90,89,,,1,0.011111111111111112,,,,15,0
dried debris,22.5,0.013530637235548072,0.4,0,0,1,13.5,102,14.2,96,87.99999999999999,281,128,8.000000000000014,0.08888888888888904,,,,15,19
,22.5,0.013530637235548072,0.4,0,0,1,13.5,105,14.2,99,87.99999999999999,283,129,11.000000000000014,0.12222222222222238,,,,15,38
,22.5,0.013530637235548072,0.4,0,0,1,13.5,107,14.1,101,87,285,130,14,0.15555555555555556,,,,15,57
,22.5,0.013530637235548072,0.4,0,0,1,13.5,116,14.2,110,87.99999999999999,287,131,22.000000000000014,0.2444444444444446,0.2222222222222222,72,82,15,76
"N3_R_2P_F0,4_h0,9_0P25C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.013530637235548072,0.4,0,0.25,0.75,13.5,96,14.3,90,89,,,1,0.011111111111111112,,,,16,0
dried debris,22.5,0.013530637235548072,0.4,0,0.25,0.75,13.5,101,14.3,95,89,289,132,6,0.06666666666666667,,,,16,19
,22.5,0.013530637235548072,0.4,0,0.25,0.75,13.5,103,14.3,97,89,291,133,8,0.08888888888888889,,,,16,38
,22.5,0.013530637235548072,0.4,0,0.25,0.75,13.5,105,14.2,99,87.99999999999999,293,134,11.000000000000014,0.12222222222222238,,,,16,57
,22.5,0.013530637235548072,0.4,0,0.25,0.75,13.5,106,14.2,100,87.99999999999999,295,135,12.000000000000014,0.1333333333333335,0.1111111111111111,62,80,16,76
"N3_R_2P_F0,4_h0,9_25P0C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,99.5,14.2,93.5,87.99999999999999,,,5.500000000000014,0.06111111111111127,,,,17,0
dried debris,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,103,14.2,97,87.99999999999999,297,136,9.000000000000014,0.10000000000000016,,,,17,19
,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,105,14.1,99,87,299,137,12,0.13333333333333333,,,,17,38
,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,106,14,100,86,,,14,0.15555555555555556,,,,17,57
,22.5,0.013530637235548072,0.4,0.25,0,0.75,13.5,109,14,103,86,301,140,17,0.18888888888888888,0.10160427807486631,81,90,17,76
"N3_R_2P_F0,28_h0,9_0P25C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.009471446064883652,0.28,0,0.25,0.75,9.5,97,14.4,91,90,,,1,0.011111111111111112,,,,18,0
dried debris,22.5,0.009471446064883652,0.28,0,0.25,0.75,9.5,97,14.4,91,90,303,141,1,0.011111111111111112,,,,18,19
,22.5,0.009471446064883652,0.28,0,0.25,0.75,9.5,99,14.4,93,90,305,142,3,0.03333333333333333,,,,18,38
,22.5,0.009471446064883652,0.28,0,0.25,0.75,9.5,99.5,14.4,93.5,90,307,143,3.5,0.03888888888888889,,,,18,57
,22.5,0.009471446064883652,0.28,0,0.25,0.75,9.5,100,14.4,94,90,,,4,0.044444444444444446,0.03296703296703297,128,140,18,76
"N3_R_2P_F0,28_h0,9_25P0C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.009471446064883652,0.28,0.25,0,0.75,9.5,97,14.4,91,90,,,1,0.011111111111111112,,,,19,0
dried debris,22.5,0.009471446064883652,0.28,0.25,0,0.75,9.5,99,14.4,93,90,309,144,3,0.03333333333333333,,,,19,19
,22.5,0.009471446064883652,0.28,0.25,0,0.75,9.5,100,14.4,94,90,311,145,4,0.044444444444444446,,,,19,38
,22.5,0.009471446064883652,0.28,0.25,0,0.75,9.5,100,14.4,94,90,313,146,4,0.044444444444444446,,,,19,57
,22.5,0.009471446064883652,0.28,0.25,0,0.75,9.5,101,14.4,95,90,315,147,5,0.05555555555555555,0.04395604395604396,118,130,19,76
"N3_R_2P_F0,28_h0,9_0P0C100L_0HR_R1_4L_0HW_22,5Deg",22.5,0.009471446064883652,0.28,0,0,1,9.5,97,14.4,91,90,,,1,0.011111111111111112,,,,20,0
dried debris,22.5,0.009471446064883652,0.28,0,0,1,9.5,98.5,14.4,92.5,90,317,148,2.5,0.027777777777777776,,,,20,19
,22.5,0.009471446064883652,0.28,0,0,1,9.5,99.5,14.4,93.5,90,319,149,3.5,0.03888888888888889,,,,20,38
,22.5,0.009471446064883652,0.28,0,0,1,9.5,100,14.4,94,90,321,150,4,0.044444444444444446,,,,20,57
,22.5,0.009471446064883652,0.28,0,0,1,9.5,100,14.4,94,90,323,151,4,0.044444444444444446,0.03296703296703297,158,160,20,76
"N3_R_2P_F0,28_h0,9_0P25C75L_0HR_R1_4L_0HW_22,5Deg",22.5,0.009471446064883652,0.28,0,0.25,0.75,9.5,97,14.4,91,90,,,1,0.011111111111111112,,,,21,0
dried debris,22.5,0.009471446064883652,0.28,0,0.25,0.75,9.5,98,14.4,92,90,325,152,2,0.022222222222222223,,,,21,19
,22.5,0.009471446064883652,0.28,0,0.25,0.75,9.5,99,14.4,93,90,327,153,3,0.03333333333333333,,,,21,38
,22.5,0.009471446064883652,0.28,0,0.25,0.75,9.5,99,14.4,93,90,329,154,3,0.03333333333333333,,,,21,57
